"","X","date","likeCount","year","popularity","time","word","sentiment"
"160",47882,17,0,2018,"normal",1,"masters","positive"
"161",47888,17,222,2018,"very popular",1,"attack","negative"
"162",47889,17,222,2018,"very popular",1,"funny","negative"
"163",47891,17,0,2018,"normal",1,"winner","positive"
"164",47896,17,0,2018,"normal",1,"mad","negative"
"165",47897,17,0,2018,"normal",1,"destroy","negative"
"166",47909,17,4,2018,"good",1,"worry","negative"
"167",47914,17,4,2018,"good",1,"nosey","negative"
"168",47919,17,0,2018,"normal",1,"bad","negative"
"169",47934,17,0,2018,"normal",1,"liars","negative"
"170",47935,17,0,2018,"normal",1,"shame","negative"
"171",47936,17,0,2018,"normal",1,"shame","negative"
"172",47937,17,0,2018,"normal",1,"shame","negative"
"173",47941,17,0,2018,"normal",1,"trump","positive"
"174",47947,17,0,2018,"normal",1,"hate","negative"
"175",47953,17,0,2018,"normal",1,"losers","negative"
"176",47957,17,0,2018,"normal",1,"liars","negative"
"177",47958,17,0,2018,"normal",1,"liars","negative"
"178",47961,17,0,2018,"normal",1,"trump","positive"
"179",47964,17,0,2018,"normal",1,"mistakes","negative"
"180",47966,17,0,2018,"normal",1,"bless","positive"
"181",47970,17,0,2018,"normal",1,"arrogance","negative"
"182",47971,17,0,2018,"normal",1,"downfall","negative"
"183",47974,17,0,2018,"normal",1,"love","positive"
"184",47984,17,0,2018,"normal",1,"effectiveness","positive"
"185",47985,17,0,2018,"normal",1,"strike","negative"
"186",47998,17,7,2018,"good",1,"attack","negative"
"187",48000,17,0,2018,"normal",1,"propaganda","negative"
"188",48007,17,0,2018,"normal",1,"wow","positive"
"189",48011,17,0,2018,"normal",1,"fake","negative"
"190",48016,17,0,2018,"normal",1,"killed","negative"
"191",48033,17,0,2018,"normal",1,"raped","negative"
"192",48037,17,0,2018,"normal",1,"obsolete","negative"
"193",48042,17,0,2018,"normal",1,"beautiful","positive"
"194",48044,17,0,2018,"normal",1,"pride","positive"
"195",48045,17,0,2018,"normal",1,"greed","negative"
"196",48048,17,0,2018,"normal",1,"misery","negative"
"197",48051,17,0,2018,"normal",1,"joke","negative"
"198",48053,17,0,2018,"normal",1,"fake","negative"
"199",48054,17,0,2018,"normal",1,"unbelievable","negative"
"200",48055,17,0,2018,"normal",1,"idiot","negative"
"201",48057,17,0,2018,"normal",1,"trump","positive"
"202",48059,17,0,2018,"normal",1,"fallen","negative"
"203",48076,17,0,2018,"normal",1,"confused","negative"
"204",48081,17,0,2018,"normal",1,"propaganda","negative"
"205",48102,17,0,2018,"normal",1,"proper","positive"
"206",48105,17,0,2018,"normal",1,"lie","negative"
"207",48111,17,0,2018,"normal",1,"trump","positive"
"208",48117,17,0,2018,"normal",1,"nice","positive"
"209",48139,17,21,2018,"good",1,"winning","positive"
"210",48142,17,21,2018,"good",1,"conflict","negative"
"211",48155,17,21,2018,"good",1,"stupid","negative"
"212",48165,17,0,2018,"normal",1,"capability","positive"
"213",48170,17,0,2018,"normal",1,"master","positive"
"214",48172,17,0,2018,"normal",1,"crazy","negative"
"215",48176,17,0,2018,"normal",1,"proper","positive"
"216",48179,17,0,2018,"normal",1,"support","positive"
"217",48184,17,0,2018,"normal",1,"shame","negative"
"218",48186,17,0,2018,"normal",1,"propaganda","negative"
"219",48200,17,0,2018,"normal",1,"enjoying","positive"
"220",48204,17,0,2018,"normal",1,"happy","positive"
"221",48209,17,0,2018,"normal",1,"killed","negative"
