,textOriginal,date,likeCount,year,popularity,time
65,hahahaha isis defeated assad loll  isis will never defeat assad   you can count on that,2014/9/23,0,2014,normal,1
66,its not a vox video without a gendervague somethingyearolds nasal voice over sorry i actually really like the video its just a part of me mourns the death of masculinity in this vneck postmodern generation,2014/9/23,0,2014,normal,1
67,obama said he was  ,2014/9/23,0,2014,normal,1
68,isis is a media scam  the reason for the bombing is to get rid of assad  this is just the beginning of a world war  started by obama a muslim   ,2014/9/23,16,2014,good,1
69,the inclusion of the shot of the burning wtc undermines your integrity as it leans too heavily towards fear mongering given the context of isis  please vox stop jumping the shark im starting to understand what your detractors were talking about surrounding your original mission statements i want them to eat crow rather than have reason to say i told you so,2014/9/23,0,2014,normal,1
70,so what is this stupid video all about so you republicans never give up want we send your happy ass over there in syria fight the isis <U+00A0>and the republicans and fox news on the grounds and go fight them let the president do his job stay off the man back<U+00A0>,2014/9/23,1,2014,normal,1
71,why dont you have more subscribers,2014/9/23,62,2014,popular,1
72,realy well made video thanks ,2014/9/23,0,2014,normal,1
73,always so information dense and brilliant vox never change<U+00A0>,2014/9/23,68,2014,popular,1
74,alright,2014/9/23,0,2014,normal,1
75,<U+178A><U+1785><U+1782><U+178A><U+1785><U+17AF><U+1784><U+1791><U+178E><U+179F><U+1791><U+1791>,2014/9/24,0,2014,normal,1
76,sarady kim ber sangkream kert lerng nov srok barangpeah kluan tov tahn na teat yerng ,2014/9/24,1,2014,normal,1
77,<U+1794><U+179A><U+17A0><U+179B>,2014/9/24,0,2014,normal,1
78,warfare in its various incarnations has been an integral part of our existence for many thoamericands of years it cannot be thought hoped prayed or wished away  we cannot be fearful of retaliation i reject the premise that the united states is an invasive force that<U+00A0>inspires often bizarre revolutionary responses thats just an excuse and one that is believed only by simple minds members of the isisisilis group certainly dont believe such nonsense theyre fully aware that their business model is reliant upon ignorance and misguided sympathyempathy  it ends when being selfcentered aggressive greedy and apathetic<U+00A0>is no longer profitable,2014/9/24,0,2014,normal,1
79,toy soldiers ceaselessly being thrown into a fire<U+00A0>,2014/9/24,0,2014,normal,1
80,no they just shoot women in the head for wanting an education,2014/9/23,0,2014,normal,1
81,idrifter<U+00A0>one does not simply control the largest technological military and economic power in the world the us defenitly has a lot of flaws but so do all other countries the difference is the us is vastly more influential ifbrazil was a puppet nation no one would notice or for that matter care since brazil doesnt have much influence in global events the us is the top producer of food the top technology producer the leading military force the leading producer of energy the leading economy by a very large margin and has considerable sway in the un and nato when the us blinks other countries feel it it isnt that the us is corrupt or under the control of some malicious force it is simply that the other countries are too weak and dependent on systems the us set up such as air travel the internet gps the usd etc<U+00A0>,2014/9/24,1,2014,normal,1
82,the us has no animosity towards syria quite the contrary the point of this war is to eliminate isis an enemy to all syrian groups both the fsa and the syrian government<U+00A0>,2014/9/24,4,2014,good,1
83,nigga is you crazy,2014/9/24,0,2014,normal,1
84,that is an opinion not a fact if you are america i will be very disappointed that you present opinions as a fact because something seems one way doesnt mean it is it means it could be turning it could be into it is is the beginning of illiteracy please use pure facts to calculate,2014/9/23,0,2014,normal,1
85,isis is false flag created to ensure the path for us attacked on syria isis is not a muslim organisation the way they react do not portray the islamic way isis is zionist plan,2014/9/23,2,2014,good,1
86,youre both times,2014/9/23,0,2014,normal,1
87,link to saying he was,2014/9/23,0,2014,normal,1
88,azu no dickbrain,2014/9/24,0,2014,normal,1
89,a google user<U+00A0>what are you ,2014/9/24,4,2014,good,1
90,azu fuck u dickbrain,2014/9/24,0,2014,normal,1
91,a google user<U+00A0>use google,2014/9/24,0,2014,normal,1
92,what is assad could u plz tell me thx,2014/9/24,0,2014,normal,1
93,tyrantscallmeterrorist<U+00A0>why do you think hes muslim,2014/9/24,0,2014,normal,1
94,what a fucken dipshitthat puke obummer hasnt done his job yet in  years what makes you think he will start nowhe is the saddest excuse for a president this great country has ever seen,2014/9/23,3,2014,good,1
95,learn to speak,2014/9/23,0,2014,normal,1
96,the only thing that is stupid is your incoherent comment,2014/9/23,4,2014,good,1
97,thanks so much for the positive feedback <U+00A0>well keep doing everything we can<U+00A0>,2014/9/26,22,2014,good,1
98,i love fire works,2014/9/25,0,2014,normal,1
99,fuck isis but at the same time fuck the cia ,2014/9/25,0,2014,normal,1
100,us bombed empty buildings in airstrikes on isil in syria read more at<U+00A0> ,2014/9/25,0,2014,normal,1
101,watch out isis zee germans are coming among others,2014/9/24,0,2014,normal,1
102,this is not alah akbar this is europeamerica nightbar the muslim race will be erased when you beheaded innocente man   of this jihadi will die,2014/9/24,0,2014,normal,1
103,no religious law belongs in the st century ,2014/9/24,1,2014,normal,1
104,jesus has a word for you muslims after we kill you,2014/9/24,0,2014,normal,1
105,some of you america just makes me sick no wonder every country hates your war minded country and your patriotism,2014/9/24,0,2014,normal,1
106,dont pull them thangs out unless you plan to bang  bombs over syriaaaaaa  fuckin die isis by you beheading our innocent civilians makes me feel no remorse for you may all die<U+00A0>,2014/9/24,0,2014,normal,1
107,this is why all the spics and niggers get mad and cops randomly harass me on the road,2014/9/24,0,2014,normal,1
108,sad snackbars realization that the vacation is over us comin in without syrian consent to push the russia buttons even harder,2014/9/24,0,2014,normal,1
109,god bless,2014/9/24,0,2014,normal,1
